"","plec","edukacja","wiek","waga","rok"
"143","kobieta","podstawowe i niższe","45-59 lat",305.05812119788,"2007"
"144","kobieta","podstawowe i niższe","60-64 lata",106.928731942404,"2007"
"145","kobieta","podstawowe i niższe","65+ lat",735.3498738054,"2007"
"146","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",240.192619173625,"2007"
"147","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",343.952532527321,"2007"
"148","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",471.488031197386,"2007"
"149","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",57.7827414814848,"2007"
"150","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",111.53417793696,"2007"
"151","kobieta","średnie","25-34 lata",385.864847764116,"2007"
"152","kobieta","średnie","35-44 lata",333.617690296142,"2007"
"153","kobieta","średnie","45-59 lat",685.25276183337,"2007"
"154","kobieta","średnie","60-64 lata",110.532971002366,"2007"
"155","kobieta","średnie","65+ lat",249.65147560786,"2007"
"156","kobieta","wyższe i policealne","25-34 lata",581.62417082094,"2007"
"157","kobieta","wyższe i policealne","35-44 lata",266.971663512092,"2007"
"158","kobieta","wyższe i policealne","45-59 lat",409.623629080083,"2007"
"159","kobieta","wyższe i policealne","60-64 lata",64.061672780336,"2007"
"160","kobieta","wyższe i policealne","65+ lat",114.0431411849,"2007"
"161","mężczyzna","podstawowe i niższe","25-34 lata",161.093021403801,"2009"
"162","mężczyzna","podstawowe i niższe","35-44 lata",186.615485782961,"2009"
"163","mężczyzna","podstawowe i niższe","45-59 lat",441.010798882554,"2009"
"164","mężczyzna","podstawowe i niższe","60-64 lata",135.503963935383,"2009"
"165","mężczyzna","podstawowe i niższe","65+ lat",643.277260476883,"2009"
"166","mężczyzna","zasadnicze zawodowe/gimanzjum","25-34 lata",716.419128016482,"2009"
"167","mężczyzna","zasadnicze zawodowe/gimanzjum","35-44 lata",872.868606089332,"2009"
"168","mężczyzna","zasadnicze zawodowe/gimanzjum","45-59 lat",1623.71553099071,"2009"
"169","mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata",258.008468253507,"2009"
"170","mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat",366.406178014104,"2009"
"171","mężczyzna","średnie","25-34 lata",862.080443511392,"2009"
"172","mężczyzna","średnie","35-44 lata",563.841896602583,"2009"
"173","mężczyzna","średnie","45-59 lat",903.785444221721,"2009"
"174","mężczyzna","średnie","60-64 lata",170.441589953796,"2009"
"175","mężczyzna","średnie","65+ lat",360.954702249676,"2009"
"176","mężczyzna","wyższe i policealne","25-34 lata",806.525334373692,"2009"
"177","mężczyzna","wyższe i policealne","35-44 lata",413.54912823853,"2009"
"178","mężczyzna","wyższe i policealne","45-59 lat",437.017752198654,"2009"
"179","mężczyzna","wyższe i policealne","60-64 lata",97.7552681337738,"2009"
"180","mężczyzna","wyższe i policealne","65+ lat",211.847256284556,"2009"
"181","kobieta","podstawowe i niższe","25-34 lata",101.794978077477,"2009"
"182","kobieta","podstawowe i niższe","35-44 lata",158.582360005637,"2009"
"183","kobieta","podstawowe i niższe","45-59 lat",576.633103709652,"2009"
"184","kobieta","podstawowe i niższe","60-64 lata",222.374776002633,"2009"
"185","kobieta","podstawowe i niższe","65+ lat",1530.73024124902,"2009"
"186","kobieta","zasadnicze zawodowe/gimanzjum","25-34 lata",466.349370088589,"2009"
"187","kobieta","zasadnicze zawodowe/gimanzjum","35-44 lata",625.339410178818,"2009"
"188","kobieta","zasadnicze zawodowe/gimanzjum","45-59 lat",1043.09154927124,"2009"
"189","kobieta","zasadnicze zawodowe/gimanzjum","60-64 lata",175.696277619012,"2009"
"190","kobieta","zasadnicze zawodowe/gimanzjum","65+ lat",217.063349021903,"2009"
"191","kobieta","średnie","25-34 lata",754.185092898838,"2009"
"192","kobieta","średnie","35-44 lata",645.499392322439,"2009"
"193","kobieta","średnie","45-59 lat",1253.93427915938,"2009"
"194","kobieta","średnie","60-64 lata",238.493383831945,"2009"
"195","kobieta","średnie","65+ lat",594.827090361287,"2009"
"196","kobieta","wyższe i policealne","25-34 lata",1172.22344558555,"2009"
"197","kobieta","wyższe i policealne","35-44 lata",569.464394335671,"2009"
